      t [ms]     p [hPa]      s [cm]
ƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒ
           0         124        9.27
           1         128        9.23
           2         132        9.21
           3         135        9.19
           4         140        9.17
           5         145        9.12
           6         145        9.12
           7         151        9.09
           8         156        9.06
           9         158        9.02
          10         164        8.99
          11         168        8.96
          12         172        8.94
          13         175        8.93
          14         180        8.92
          15         183        8.88
          16         188        8.84
          17         192        8.80
          18         196        8.79
          19         201        8.76
          20         202        8.73
          21         209        8.71
          22         213        8.69
          23         217        8.65
          24         221        8.62
          25         225        8.60
          26         227        8.57
          27         231        8.53
          28         234        8.51
          29         237        8.51
          30         240        8.44
          31         246        8.38
          32         253        8.34
          33         257        8.33
          34         264        8.30
          35         270        8.27
          36         275        8.24
          37         282        8.22
          38         282        8.21
          39         289        8.18
          40         294        8.15
          41         302        8.11
          42         308        8.08
          43         314        8.05
          44         318        8.00
          45         323        7.96
          46         329        7.95
          47         337        7.90
          48         341        7.88
          49         347        7.85
          50         351        7.82
          51         355        7.79
          52         359        7.77
          53         362        7.74
          54         364        7.71
          55         367        7.67
          56         371        7.64
          57         374        7.62
          58         378        7.59
          59         385        7.56
          60         394        7.53
          61         404        7.49
          62         412        7.48
          63         419        7.45
          64         427        7.42
          65         434        7.39
          66         442        7.35
          67         447        7.33
          68         454        7.31
          69         458        7.27
          70         464        7.24
          71         468        7.21
          72         472        7.19
          73         476        7.17
          74         479        7.15
          75         483        7.12
          76         487        7.09
          77         491        7.06
          78         495        7.02
          79         501        7.01
          80         505        6.96
          81         511        6.94
          82         516        6.89
          83         519        6.88
          84         522        6.87
          85         526        6.85
          86         531        6.82
          87         537        6.79
          88         543        6.76
          89         549        6.73
          90         556        6.69
          91         563        6.68
          92         569        6.67
          93         576        6.64
          94         582        6.61
          95         586        6.58
          96         592        6.55
          97         596        6.54
          98         601        6.53
          99         605        6.50
         100         608        6.49
         101         612        6.44
         102         615        6.43
         103         617        6.40
         104         621        6.39
         105         624        6.37
         106         629        6.35
         107         632        6.32
         108         637        6.31
         109         640        6.28
         110         644        6.24
         111         650        6.21
         112         654        6.22
         113         659        6.19
         114         663        6.17
         115         670        6.14
         116         671        6.13
         117         675        6.13
         118         678        6.10
         119         680        6.08
         120         685        6.07
         121         685        6.05
         122         687        6.05
         123         692        6.01
         124         692        6.02
         125         694        5.99
         126         697        5.95
         127         698        5.95
         128         702        5.92
         129         705        5.92
         130         710        5.88
         131         714        5.86
         132         718        5.85
         133         723        5.84
         134         727        5.83
         135         731        5.80
         136         735        5.80
         137         738        5.77
         138         744        5.76
         139         745        5.76
         140         748        5.74
         141         749        5.72
         142         751        5.72
         143         753        5.69
         144         755        5.67
         145         756        5.66
         146         757        5.66
         147         758        5.65
         148         760        5.62
         149         762        5.63
         150         764        5.60
         151         765        5.59
         152         767        5.58
         153         770        5.57
         154         771        5.56
         155         773        5.57
         156         776        5.54
         157         778        5.54
         158         780        5.51
         159         781        5.51
         160         781        5.50
         161         781        5.48
         162         782        5.47
         163         783        5.46
         164         781        5.47
         165         783        5.44
         166         784        5.44
         167         785        5.44
         168         787        5.44
         169         788        5.41
         170         789        5.41
         171         793        5.41
         172         793        5.41
         173         794        5.38
         174         794        5.39
         175         794        5.38
         176         794        5.37
         177         793        5.36
         178         795        5.36
         179         794        5.35
         180         794        5.36
         181         793        5.36
         182         793        5.35
         183         792        5.33
         184         793        5.33
         185         793        5.33
         186         793        5.32
         187         792        5.33
         188         791        5.33
         189         791        5.33
         190         791        5.31
         191         791        5.30
         192         790        5.29
         193         789        5.29
         194         789        5.29
         195         788        5.29
         196         787        5.29
         197         787        5.29
         198         784        5.29
         199         784        5.30
         200         783        5.30
         201         781        5.29
         202         780        5.29
         203         778        5.30
         204         778        5.29
         205         774        5.30
         206         773        5.29
         207         772        5.30
         208         769        5.33
         209         767        5.33
         210         765        5.33
         211         761        5.33
         212         760        5.36
         213         756        5.35
         214         753        5.35
         215         750        5.36
         216         745        5.37
         217         741        5.37
         218         735        5.39
         219         733        5.38
         220         728        5.41
         221         724        5.40
         222         719        5.42
         223         715        5.45
         224         711        5.45
         225         706        5.45
         226         701        5.48
         227         698        5.47
         228         692        5.51
         229         687        5.51
         230         682        5.53
         231         675        5.54
         232         670        5.57
         233         664        5.57
         234         659        5.59
         235         653        5.62
         236         647        5.62
         237         643        5.66
         238         638        5.66
         239         635        5.69
         240         626        5.72
         241         621        5.74
         242         615        5.75
         243         609        5.77
         244         601        5.80
         245         593        5.84
